网站,文章,页,状态,实际从,实际到,备注
Fox电子资源,《教育技术理论与实践》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《高等教育实践教学研究与实践》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《留守与流动农民子女的教育选择》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《创新教育导论》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《成人高等教育理论与改革实践》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《转型与跨越：现代开放远程教育及高等职业教育发展实践思考》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育实习指导》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《CEA混成学习：教师教育的整合模式》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育新闻写作谈》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《发展与教育心理学实验指导》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育法律常识》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育科研的原理、方法与操作》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《远程教育：理念与实践》上、下,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育财政与金融文集》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《现代教育技术教程》1级、2级,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《成功的足迹：美国高等教育领导者背后的故事》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《高等教育环境论》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育经济管理》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育硕士培养模式研究》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《成人高等教育管理实务》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育获得的城乡差异》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育服务管理：基于学生满意的视角》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《创业教育实用教程》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《破解教育的马太效应》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《高等教育转型与应用型本科人才培养》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育学原理 简缩版》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育测量与评价》第二版,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《终身教育体系中社区学校实体化建设的研究》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
CCTV4,Tips：得而不喜，失而不忧。,-,Study,2013/3/15 11:27,2013/3/15 11:27,心得
Fox电子资源,《网络课程建设与研修：构建区域性基础教育网络课程的理论与实践》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《学习、教学和评估的分类学：布卢姆教育目标分类学》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《没有办不好的学校：郑杰教育讲演录》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《网络教育学》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《就业指导与创业教育》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《自学考试教育平台建设研究》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《高等教育理念与质量建设研究文集》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《网络教育高职高专多媒体系列教材、网络营销与策划》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育能改变什么》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《网络教育本质论》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《订单教育》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《体验新加坡 27位留学生中新教育差异》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育经费的国际比较》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育行政原理》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《高等职业教育教学质量管理概论》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《探索之路：构建学习型继续教育平台》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《教育统计学：思想、方法与应用》,-,Study,2013/3/15 11:27,2013/3/15 11:27,需读书目
Fox电子资源,《软件可靠性工程》 ,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目，徐仁佑
Fox电子资源,《分布式并行计算技术》 ,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目，李代平
Fox电子资源,《分形图形分布式并行生成技术》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
Fox电子资源,《并行算法实践》,-,Study,2013/3/25 12:00,2013/3/25 12:00,需读书目
