Content,Date
Book：加拿大高等教育研究,2013/3/25
    1.学校自行管理（法律层面）,2013/3/25
    2.学费逐年提高， 50%就学率，瑞氏报告,2013/3/25
    3.中国高校举债发展，助学金及开学贷款,2013/3/25
    4.学生顾问，申请程序,2013/3/25
    5.传授知识，发展个性，服务社会，创造知识,2013/3/25
    6.国际高等教育质量保证机构网络,2013/3/25
    7.审核期，评审工作程序,2013/3/25
    8.不同学位水平标准（Table）P79,2013/3/25
    9.新教师培训，讲习班,2013/3/25
    10.学生会，大学生活指南,2013/3/25
    11.建立学生权益的保障机制,2013/3/25
    12.科研管理,2013/3/25
    13.以“合同形式”进行校企合作,2013/3/25
    14.校际交流、国际交流、论坛、讲座,2013/3/25
    15.移民和难民保护法,2013/3/25
    16.国际职业培训项目,2013/3/25
    17.加拿大创新基金会（CFI）,2013/3/25
Tips：IT搜索关键字,2013/3/25
    识别，大数据，海量，容量,2013/3/25
    并发，并行，数据结构，模式,2013/3/25
    人工智能，云计算，分布式，仿真,2013/3/25
    多线程，机群，高速，算法,2013/3/25
    模拟，运筹，自动化，OA，NoSQL,2013/3/25
Book：走进云计算，王鹏，人民邮电出版社,2013/3/25
    1.BeOS P4,2013/3/25
    2.网格计算 P15,2013/3/25
    3.定义-P17,2013/3/25
    4.按访存模型分为5类 P22,2013/3/25
    5.运行原理-P24,2013/3/25
    6.第一是资源共享；第二是网格本身是灵活多变的。P26,2013/3/25
    7.Tele-immetsion P27,2013/3/25
    8.镜像网页消重、天气模拟、上亿字符串的排序 P35,2013/3/25
    9.大规模数据集（大于1TB） P45,2013/3/25
    10. 10.MapReduce应用广泛 P45,2013/3/25
    11.微软提出了Software SaaS的模式 P47,2013/3/25
    12.3Tera的AppLogic P47,2013/3/25
    13.广义的讲云计算系统可以向任何终端提供高效的服务 P50,2013/3/25
    注-智能家电,
    14.Map Reduce、GFS、Big Table三项所组成。,2013/3/25
    15.6个组成成分 P123,2013/3/25
    16.云脑系统功能图 P127,2013/3/25
    17.图7-5 云脑系统工作流程图 P128,2013/3/25
    18. 7.4.2并行集群的搭建 P139-P143,2013/3/25
《通信和计算机行业专利申请 基础与实务》，周建明，人民邮电出版社,2013/3/25
    1.很多时候，技术方案设计得越巧妙、越简单，创新性反而更好。P37,2013/3/25
    2.算法本身不能申请专利，但算法能成为发明电。P37,2013/3/25
    3.技术交底书：主题明确，用词准确，结构齐全，手段充分，能够实现 P40-41,2013/3/25
    TODO：还没有看完,
《数据挖掘原理与技术》，张云涛，飞思科技产品研发中心-2004,2013/3/25
    1.数据挖掘-定义  P1,2013/3/25
    2.KDD（Knowledge Discovery in Database) P2,2013/3/25
    3.数据库、人工智能和数理统计是数据挖掘的三根强大的技术支柱。,2013/3/25
    4.应用技术不同、驱动因素不同、处理的对象不同、数据规模不同、风格不同 P3,2013/3/25
    5.但是如果将数据挖掘和数据库协同工作 P4,2013/3/25
    6.与专家系统的比较（1.5.1） P4-P6,2013/3/25
    7.数据挖掘和OLAP具有一定的互补性。P6,2013/3/25
    8.分类：（按处理的数据类型）,2013/3/25
        8.1 结构化数据挖掘系统,2013/3/25
        8.2 半结构化、非结构化数据挖掘系统,2013/3/25
