ID,type,content,type,comment
1,ASP.NET,2.4 编码模型,Done,
2,ASP.NET,2.4.1 代码隐藏页面如何与页面连接,Done,通过partial
3,ASP.NET,2.4.2 控制标签如何与页面变量连接,Done,通过protected声明
4,ASP.NET,2.4.3 事件处理如何与事件处理程序连接,Done,三种方式
5,ASP.NET,2.5 Web项目,Done,
6,ASP.NET,2.5.1 基于项目的开发,Done,
7,ASP.NET,2.5.2 创建Web项目,Done,
8,ASP.NET,2.5.3 迁移旧版Visual Studio创建的网站,Done,config会发生改变
9,ASP.NET,2.6 Visual Studio调试,Done,测试服务器
10,ASP.NET,2.6.1 单步调试,Done,"F11,F10,S+F11, F5"
11,ASP.NET,2.6.2 变量监视,Done,"局部, 自动, 监视"
12,ASP.NET,2.6.3 高级断点,Done,几乎很少看见用
13,ASP.NET,2.7 Web Development Helper,Done,还是Firebug好
14,ASP.NET,2.8 总结,Done,
15,ASP.NET,3 Web窗体,Done,注意表单的变化
16,ASP.NET,3.1 页面处理,Done,"回送, 无状态"
17,ASP.NET,3.1.1 HTML表单,Done,
18,ASP.NET,3.1.2 动态用户界面,Done,
19,ASP.NET,3.1.3 事件模型,Done,
20,ASP.NET,3.1.4 自动回送,Done,AutoPostBack
21,ASP.NET,3.1.5 视图状态,Done,viewState可解码
22,ASP.NET,3.1.6 XHTML兼容性,Review,要重点复习下!
23,ASP.NET,3.1.7 客户端控件ID,Done,"AutoID, ClientMode"
24,ASP.NET,3.2 Web窗体处理阶段,Done,
25,ASP.NET,3.2.1 页面框架初始化,Done,PageInit
26,ASP.NET,3.2.2 用户代码初始化,Done,
27,ASP.NET,3.2.3 验证,Done,
28,ASP.NET,3.2.4 事件处理,Done,记住优缺点
29,ASP.NET,3.2.5 自动数据绑定,Done,
30,ASP.NET,3.2.6 清除,Done,Page.Disposed
31,ASP.NET,3.2.7 页面流示例,Done,去下源代码
32,ASP.NET,3.3 作为控件容器的页面,Done,Page.Controls
33,ASP.NET,3.3.1 显示控件树,Done,例子有点烦人
34,ASP.NET,3.3.2 页头,Done,比较简单
35,ASP.NET,3.3.3 动态控件的创建,Review,"不是很懂, 需复习"
36,ASP.NET,3.4 Page类,Done,
37,ASP.NET,"3.4.1 Session, Application和Cache",Done,只是点到为止
38,ASP.NET,3.4.2 Request,Review,需深入
39,ASP.NET,3.4.3 Response,Review,需深入
40,ASP.NET,3.4.4 Server,Review,需深入
41,ASP.NET,3.4.5 User,Done,看第4部分
42,ASP.NET,3.4.6 Trace,Review,编写自定义跟踪信息
43,ASP.NET,3.4.7 访问其他类中的HTTP上下文,Done,HttpContext
44,ASP.NET,3.5 总结,Done,
45,ASP.NET,4 服务器控件,Done,
46,ASP.NET,4.1 服务器控件的类型,Review,蛮庞大的
47,ASP.NET,4.2 HTML服务器控件,Done,
48,ASP.NET,4.2.1 HtmlControl类,Done,
49,ASP.NET,4.2.2 HtmlContanerControl类,Done,
50,ASP.NET,4.2.3 HtmlInputControl类,Done,
51,ASP.NET,4.2.4 HTML服务器控件类,Review,每个都要试一下
52,ASP.NET,4.2.5 设置Style特性和其他属性,Done,这样套样式会很简单
53,ASP.NET,4.2.6 通过编程创建服务器控件,Done,例子不错
54,ASP.NET,4.2.7 处理服务器端事件,Done,例子不错
55,ASP.NET,4.3 Web控件,Done,注意那个继承树
56,ASP.NET,4.3.1 WebControl基类,Done,有些通用的属性
57,ASP.NET,4.3.2 基本的Web控件类,Done,有个列表
58,ASP.NET,4.3.3 单位,Done,"Pixel, Percentage"
59,ASP.NET,4.3.4 枚举,Done,
60,ASP.NET,4.3.5 颜色,Done,
61,ASP.NET,4.3.6 字体,Done,
62,ASP.NET,4.3.7 焦点,Review,没看明白
63,ASP.NET,4.3.8 默认按钮,Done,DefaultButton
