日期,生词,意思,备注
2013/4/20 13:47,mutator,存取器,
2013/4/20 13:49,individual,个人,常见词
2013/4/20 13:49,various,各个,常见词
2013/4/20 13:52,advantages,优点,常见词
2013/4/20 13:53,bog down,停滞,
2013/4/20 13:53,bog,沼泽,
2013/4/20 14:00,occur,发生,常见词
2013/4/20 14:01,accidental,偶然,
2013/4/20 14:02,opportunity,机会,常见词
2013/4/20 14:03,via,通过,常见词
2013/4/20 14:11,arrange,安排,常见词
2013/4/20 14:11,rearrange,倒换,
2013/4/20 14:12,impact,碰撞,
2013/4/20 14:15,predict,预测,
2013/4/20 14:15,unpredictable,变换莫测,
2013/4/20 14:42,breakneck,极快,
2013/4/20 14:47,particulars?,细节,常见词
2013/4/20 14:48,pitfalls,陷阱,
2013/4/20 14:49,variations,变化,常见词
2013/4/20 14:50,retailer,零售商,常见词
2013/4/20 14:59,brands,品牌,常见词
2013/4/20 15:01,pseudo,伪造,常见词
2013/4/20 15:02,hybrid,混合,
2013/4/20 15:05,Boilerplate,样板,
2013/4/20 15:06,fallbacks,回退,常见词
2013/4/20 16:42,concrete,具体,
2013/4/20 16:43,eventually,终于,
2013/4/20 16:44,affect,影响,
2013/4/20 17:20,The Gregorian calendar,公历,
2013/4/20 17:21,lunar,太阴,不常见
2013/4/20 17:22,miscalculation,失算,
2013/4/20 17:24,leap year,闰年,
2013/4/22 13:00,postcondition,后置条件,不常见
2013/4/22 13:01,indicate,表明,
2013/4/22 13:33,bag,袋子,
2013/4/22 13:55,grab,抢,
2013/4/22 14:13,appropriate.,合适的,
2013/5/3 13:59,鬻(yu) 四声,卖,
2013/5/24 12:34,公共信息网络安全监察,,
2013/5/24 12:46,数值分析,,
2013/5/24 12:56,马尔可夫链,,wiki-周期性部分没看懂
2013/5/24 13:51,整体性加工,,有意思的效应
